case,gt_temp,mu_temp,hit90_temp,gt_lapse,mu_lapse,hit90_lapse,gt_aligned_weight,mu_aligned_weight,hit90_aligned_weight,gt_orthogonal_weight,mu_orthogonal_weight,hit90_orthogonal_weight,gt_horizon,mu_horizon,hit90_horizon
0,2.8315506243589375,1.6491497,1.0,0.9978138171813264,0.5387479,1.0,0.8892507245281144,0.70634806,1.0,0.36001981835083174,0.5713408,1.0,1.6996375874984022,1.0509269,1.0
1,0.2656320844904545,2.0024457,0.0,0.7644233598833884,0.3329683,1.0,0.8355637110226737,0.6731485,1.0,0.6524060017473101,0.5796398,1.0,1.3829461468189457,1.5480354,1.0
2,2.0861129027744347,1.4820372,1.0,0.7579829237097678,0.70739985,1.0,0.8807990330996475,0.9984428,1.0,0.8519313386932278,0.39220008,1.0,2.8518408568990985,0.22965498,0.0
3,2.0999710581280704,2.0175989,1.0,0.7012500411967357,0.3690818,1.0,0.5468672833137905,0.68740535,1.0,0.8393217743125877,0.59800243,0.0,1.191533275175907,1.2837367,1.0
4,1.4988010345549425,1.7648226,1.0,0.7656145978858838,0.45986503,1.0,0.4718758796258181,0.745422,0.0,0.5713478766243388,0.6048959,1.0,1.788096706838249,0.98797876,1.0
5,1.5081090657745888,1.2782269,1.0,0.005496569776597515,0.64041346,1.0,0.8304379574018325,1.0210855,1.0,0.7710613056682432,0.5192993,1.0,1.1400823809510545,1.4512666,1.0
6,2.675409507664348,0.58554035,0.0,0.8621668198949161,0.38240302,1.0,0.5326718228744975,0.341859,1.0,0.12028613080539519,0.4173972,1.0,1.4886027825898773,1.7635063,1.0
7,0.266860919367625,1.3144073,1.0,0.5104971018614125,0.2964052,1.0,0.24795770034338593,0.7489711,1.0,0.04148857370518688,0.43934855,1.0,1.2200239517763434,1.3812853,1.0
8,2.542489114305496,1.0799676,1.0,0.10891650917500506,-0.0028587847,1.0,0.6653196411787137,0.55183417,1.0,0.566169598684739,0.612838,1.0,1.054735953881013,0.7805244,1.0
9,1.0690226085824062,0.7610544,1.0,0.6418555889443138,0.37078786,1.0,0.5402670909944481,0.9321907,1.0,0.30243631323144693,0.6342324,1.0,1.2001359571070958,1.5004994,1.0
